Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Community National Bank at Bartow,Bartow,Florida,25266,"CenterState Bank of Florida, N.A.",2010-08-20,10279
Imperial Savings and Loan Association,Martinsville,Virginia,31623,"River Community Bank, N.A.",2010-08-20,10280
Independent National Bank,Ocala,Florida,27344,"CenterState Bank of Florida, N.A.",2010-08-20,10281
Los Padres Bank,Solvang,California,32165,Pacific Western Bank,2010-08-20,10282
Pacific State Bank,Stockton,California,27090,"Rabobank, N.A.",2010-08-20,10283
ShoreBank,Chicago,Illinois,15640,Urban Partnership Bank,2010-08-20,10284
Horizon Bank,Bradenton,Florida,35061,Bank of the Ozarks,2010-09-10,10286
Bramble Savings Bank,Milford,Ohio,27808,Foundation Bank,2010-09-17,10288
First Commerce Community Bank,Douglasville,Georgia,57448,Community & Southern Bank,2010-09-17,10289
ISN Bank,Cherry Hill,New Jersey,57107,Customers Bank,2010-09-17,10290
Maritime Savings Bank,West Allis,Wisconsin,28612,"North Shore Bank, FSB",2010-09-17,10291
The Peoples Bank,Winder,Georgia,182,Community & Southern Bank,2010-09-17,10292
Bank of Ellijay,Ellijay,Georgia,58197,Community & Southern Bank,2010-09-17,10287
Haven Trust Bank Florida,Ponte Vedra Beach,Florida,58308,First Southern Bank,2010-09-24,10293
North County Bank,Arlington,Washington,35053,Whidbey Island Bank,2010-09-24,10294
Shoreline Bank,Shoreline,Washington,35250,GBC International Bank,2010-10-01,10295
Wakulla Bank,Crawfordville,Florida,21777,Centennial Bank,2010-10-01,10296
Premier Bank,Jefferson City,Missouri,34016,Providence Bank,2010-10-15,10297
"Security Savings Bank, F.S.B.",Olathe,Kansas,30898,Simmons First National Bank,2010-10-15,10298
WestBridge Bank and Trust Company,Chesterfield,Missouri,58205,Midland States Bank,2010-10-15,10299
"First Arizona Savings, A FSB",Scottsdale,Arizona,32582,No Acquirer,2010-10-22,10306
The Gordon Bank,Gordon,Georgia,33904,Morris Bank,2010-10-22,10305
The First National Bank of Barnesville,Barnesville,Georgia,2119,United Bank,2010-10-22,10304
First Suburban National Bank,Maywood,Illinois,16089,Seaway Bank and Trust Company,2010-10-22,10301
Hillcrest Bank,Overland Park,Kansas,22173,"Hillcrest Bank, N.A.",2010-10-22,10302
First Bank of Jacksonville,Jacksonville,Florida,27573,Ameris Bank,2010-10-22,10300
Progress Bank of Florida,Tampa,Florida,32251,Bay Cities Bank,2010-10-22,10303
First Vietnamese American Bank,Westminster,California,57885,Grandpoint Bank,2010-11-05,10307
K Bank,Randallstown,Maryland,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,10308
Pierce Commercial Bank,Tacoma,Washington,34411,Heritage Bank,2010-11-05,10309
Western Commercial Bank,Woodland Hills,California,58087,First California Bank,2010-11-05,10310
Tifton Banking Company,Tifton,Georgia,57831,Ameris Bank,2010-11-12,10313
Copper Star Bank,Scottsdale,Arizona,35463,"Stearns Bank, N.A.",2010-11-12,10311
Darby Bank & Trust Co.,Vidalia,Georgia,14580,Ameris Bank,2010-11-12,10312
Allegiance Bank of North America,Bala Cynwyd,Pennsylvania,35078,VIST Bank,2010-11-19,10314
First Banking Center,Burlington,Wisconsin,5287,First Michigan Bank,2010-11-19,10315
Gulf State Community Bank,Carrabelle,Florida,20340,Centennial Bank,2010-11-19,10316
Earthstar Bank,Southampton,Pennsylvania,35561,Polonia Bank,2010-12-10,10317
Paramount Bank,Farmington Hills,Michigan,34673,Level One Bank,2010-12-10,10318
"The Bank of Miami, N.A.",Coral Gables,Florida,19040,1st United Bank,2010-12-17,10324
"United Americas Bank, N.A.",Atlanta,Georgia,35065,State Bank and Trust Company,2010-12-17,10323
"Appalachian Community Bank, FSB",McCaysville,Georgia,58495,Peoples Bank of East Tennessee,2010-12-17,10319
Community National Bank,Lino Lakes,Minnesota,23306,Farmers & Merchants Savings Bank,2010-12-17,10321
Chestatee State Bank,Dawsonville,Georgia,34578,Bank of the Ozarks,2010-12-17,10320
First Southern Bank,Batesville,Arkansas,58052,Southern Bank,2010-12-17,10322
First Commercial Bank of Florida,Orlando,Florida,34965,First Southern Bank,2011-01-07,10325
Legacy Bank,Scottsdale,Arizona,57820,Enterprise Bank & Trust,2011-01-07,10326
Oglethorpe Bank,Brunswick,Georgia,57440,Bank of the Ozarks,2011-01-14,10327
CommunitySouth Bank and Trust,Easley,South Carolina,57868,"CertusBank, National Association",2011-01-21,10328
Enterprise Banking Company,McDonough,Georgia,19758,No Acquirer,2011-01-21,10329
The Bank of Asheville,Asheville,North Carolina,34516,First Bank,2011-01-21,10330
United Western Bank,Denver,Colorado,31293,First-Citizens Bank & Trust Company,2011-01-21,10331
FirsTier Bank,Louisville,Colorado,57646,No Acquirer,2011-01-28,10334
The First State Bank,Camargo,Oklahoma,2303,Bank 7,2011-01-28,10335
First Community Bank,Taos,New Mexico,12261,"U.S. Bank, N.A.",2011-01-28,10333
Evergreen State Bank,Stoughton,Wisconsin,5328,McFarland State Bank,2011-01-28,10332
North Georgia Bank,Watkinsville,Georgia,35242,BankSouth,2011-02-04,10338
Community First Bank - Chicago,Chicago,Illinois,57948,Northbrook Bank & Trust Company,2011-02-04,10337
American Trust Bank,Roswell,Georgia,57432,Renasant Bank,2011-02-04,10336
Badger State Bank,Cassville,Wisconsin,13272,Royal Bank,2011-02-11,10339
Canyon National Bank,Palm Springs,California,34692,Pacific Premier Bank,2011-02-11,10340
Peoples State Bank,Hamtramck,Michigan,14939,First Michigan Bank,2011-02-11,10341
Sunshine State Community Bank,Port Orange,Florida,35478,"Premier American Bank, N.A.",2011-02-11,10342
Charter Oak Bank,Napa,California,57855,Bank of Marin,2011-02-18,10343
Citizens Bank of Effingham,Springfield,Georgia,34601,Heritage Bank of the South,2011-02-18,10344
Habersham Bank,Clarkesville,Georgia,151,SCBT National Association,2011-02-18,10345
"San Luis Trust Bank, FSB",San Luis Obispo,California,34783,First California Bank,2011-02-18,10346
Valley Community Bank,St. Charles,Illinois,34187,First State Bank,2011-02-25,10347
Legacy Bank,Milwaukee,Wisconsin,34818,Seaway Bank and Trust Company,2011-03-11,10348
First National Bank of Davis,Davis,Oklahoma,4077,The Pauls Valley National Bank,2011-03-11,10349
The Bank of Commerce,Wood Dale,Illinois,34292,Advantage National Bank Group,2011-03-25,10350
Western Springs National Bank and Trust,Western Springs,Illinois,10086,Heartland Bank and Trust Company,2011-04-08,10352
Nevada Commerce Bank,Las Vegas,Nevada,35418,City National Bank,2011-04-08,10351
Bartow County Bank,Cartersville,Georgia,21495,Hamilton State Bank,2011-04-15,10353
Superior Bank,Birmingham,Alabama,17750,"Superior Bank, National Association",2011-04-15,10358
Rosemount National Bank,Rosemount,Minnesota,24099,Central Bank,2011-04-15,10357
Heritage Banking Group,Carthage,Mississippi,14273,Trustmark National Bank,2011-04-15,10354
New Horizons Bank,East Ellijay,Georgia,57705,Citizens South Bank,2011-04-15,10355
Nexity Bank,Birmingham,Alabama,19794,AloStar Bank of Commerce,2011-04-15,10356
Community Central Bank,Mount Clemens,Michigan,34234,Talmer Bank & Trust,2011-04-29,10359
Cortez Community Bank,Brooksville,Florida,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10360
First National Bank of Central Florida,Winter Park,Florida,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10362
The Park Avenue Bank,Valdosta,Georgia,19797,Bank of the Ozarks,2011-04-29,10363
First Choice Community Bank,Dallas,Georgia,58539,Bank of the Ozarks,2011-04-29,10361
Coastal Bank,Cocoa Beach,Florida,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06,10364
Atlantic Southern Bank,Macon,Georgia,57213,"CertusBank, National Association",2011-05-20,10365
First Georgia Banking Company,Franklin,Georgia,57647,"CertusBank, National Association",2011-05-20,10366
Summit Bank,Burlington,Washington,513,Columbia State Bank,2011-05-20,10367
First Heritage Bank,Snohomish,Washington,23626,Columbia State Bank,2011-05-27,10368
Atlantic Bank and Trust,Charleston,South Carolina,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,10369
First Commercial Bank of Tampa Bay,Tampa,Florida,27583,Stonegate Bank,2011-06-17,10370
McIntosh State Bank,Jackson,Georgia,19237,Hamilton State Bank,2011-06-17,10371
Mountain Heritage Bank,Clayton,Georgia,57593,First American Bank and Trust Company,2011-06-24,10372
First Chicago Bank & Trust,Chicago,Illinois,27935,Northbrook Bank & Trust Company,2011-07-08,10374
Signature Bank,Windsor,Colorado,57835,Points West Community Bank,2011-07-08,10375
Colorado Capital Bank,Castle Rock,Colorado,34522,First-Citizens Bank & Trust Company,2011-07-08,10373
First Peoples Bank,Port St. Lucie,Florida,34870,"Premier American Bank, N.A.",2011-07-15,10376
High Trust Bank,Stockbridge,Georgia,19554,Ameris Bank,2011-07-15,10377
One Georgia Bank,Atlanta,Georgia,58238,Ameris Bank,2011-07-15,10378
Summit Bank,Prescott,Arizona,57442,The Foothills Bank,2011-07-15,10379
LandMark Bank of Florida,Sarasota,Florida,35244,American Momentum Bank,2011-07-22,10381
Southshore Community Bank,Apollo Beach,Florida,58056,American Momentum Bank,2011-07-22,10382
Bank of Choice,Greeley,Colorado,2994,"Bank Midwest, N.A.",2011-07-22,10380
"BankMeridian, N.A.",Columbia,South Carolina,58222,SCBT National Association,2011-07-29,10383
Integra Bank National Association,Evansville,Indiana,4392,Old National Bank,2011-07-29,10384
Virginia Business Bank,Richmond,Virginia,58283,Xenith Bank,2011-07-29,10385
Bank of Shorewood,Shorewood,Illinois,22637,Heartland Bank and Trust Company,2011-08-05,10386
Bank of Whitman,Colfax,Washington,22528,Columbia State Bank,2011-08-05,10387
The First National Bank of Olathe,Olathe,Kansas,4744,Enterprise Bank & Trust,2011-08-12,10388
Public Savings Bank,Huntingdon Valley,Pennsylvania,34130,"Capital Bank, N.A.",2011-08-18,10389
First Southern National Bank,Statesboro,Georgia,57239,Heritage Bank of the South,2011-08-19,10391
Lydian Private Bank,Palm Beach,Florida,35356,"Sabadell United Bank, N.A.",2011-08-19,10392
First Choice Bank,Geneva,Illinois,57212,Inland Bank & Trust,2011-08-19,10390
CreekSide Bank,Woodstock,Georgia,58226,Georgia Commerce Bank,2011-09-02,10393
Patriot Bank of Georgia,Cumming,Georgia,58273,Georgia Commerce Bank,2011-09-02,10394
The First National Bank of Florida,Milton,Florida,25155,CharterBank,2011-09-09,10395
Bank of the Commonwealth,Norfolk,Virginia,20408,Southern Bank and Trust Company,2011-09-23,10396
Citizens Bank of Northern California,Nevada City,California,33983,Tri Counties Bank,2011-09-23,10397
First International Bank,Plano,Texas,33513,American First National Bank,2011-09-30,10398
The RiverBank,Wyoming,Minnesota,10216,Central Bank,2011-10-07,10399
Sun Security Bank,Ellington,Missouri,20115,Great Southern Bank,2011-10-07,10400
"Blue Ridge Savings Bank, Inc.",Asheville,North Carolina,32347,Bank of North Carolina,2011-10-14,10401
Country Bank,Aledo,Illinois,35395,Blackhawk Bank & Trust,2011-10-14,10402
First State Bank,Cranford,New Jersey,58046,Northfield Bank,2011-10-14,10403
Piedmont Community Bank,Gray,Georgia,57256,State Bank and Trust Company,2011-10-14,10404
Old Harbor Bank,Clearwater,Florida,57537,1st United Bank,2011-10-21,10408
Decatur First Bank,Decatur,Georgia,34392,Fidelity Bank,2011-10-21,10407
Community Banks of Colorado,Greenwood Village,Colorado,21132,"Bank Midwest, N.A.",2011-10-21,10405
Community Capital Bank,Jonesboro,Georgia,57036,State Bank and Trust Company,2011-10-21,10406
All American Bank,Des Plaines,Illinois,57759,International Bank of Chicago,2011-10-28,10409
"Mid City Bank, Inc.",Omaha,Nebraska,19397,Premier Bank,2011-11-04,10410
SunFirst Bank,Saint George,Utah,57087,Cache Valley Bank,2011-11-04,10411
Community Bank of Rockmart,Rockmart,Georgia,57860,Century Bank of Georgia,2011-11-10,10412
Central Progressive Bank,Lacombe,Louisiana,19657,First NBC Bank,2011-11-18,10413
Polk County Bank,Johnston,Iowa,14194,Grinnell State Bank,2011-11-18,10414
Premier Community Bank of the Emerald Coast,Crestview,Florida,58343,Summit Bank,2011-12-16,10415
Western National Bank,Phoenix,Arizona,57917,Washington Federal,2011-12-16,10416
American Eagle Savings Bank,Boothwyn,Pennsylvania,31581,"Capital Bank, N.A.",2012-01-20,10417
Central Florida State Bank,Belleview,Florida,57186,"CenterState Bank of Florida, N.A.",2012-01-20,10418
The First State Bank,Stockbridge,Georgia,19252,Hamilton State Bank,2012-01-20,10419
Tennessee Commerce Bank,Franklin,Tennessee,35296,Republic Bank & Trust Company,2012-01-27,10423
BankEast,Knoxville,Tennessee,19869,"U.S. Bank, N.A.",2012-01-27,10420
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,Florida,16579,"CenterState Bank of Florida, N.A.",2012-01-27,10421
Patriot Bank Minnesota,Forest Lake,Minnesota,34823,First Resource Bank,2012-01-27,10422
SCB Bank,Shelbyville,Indiana,29761,"First Merchants Bank, National Association",2012-02-10,10425
Charter National Bank and Trust,Hoffman Estates,Illinois,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,10424
Central Bank of Georgia,Ellaville,Georgia,5687,Ameris Bank,2012-02-24,10426
Home Savings of America,Little Falls,Minnesota,29178,No Acquirer,2012-02-24,10427
Global Commerce Bank,Doraville,Georgia,34046,Metro City Bank,2012-03-02,10428
New City Bank,Chicago,Illinois,57597,No Acquirer,2012-03-09,10429
Covenant Bank & Trust,Rock Spring,Georgia,58068,"Stearns Bank, N.A.",2012-03-23,10430
Premier Bank,Wilmette,Illinois,35419,International Bank of Chicago,2012-03-23,10431
Fidelity Bank,Dearborn,Michigan,33883,The Huntington National Bank,2012-03-30,10432
"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,35527,Alma Bank,2012-04-20,10433
Plantation Federal Bank,Pawleys Island,South Carolina,32503,First Federal Bank,2012-04-27,10438
Palm Desert National Bank,Palm Desert,California,23632,Pacific Premier Bank,2012-04-27,10437
Bank of the Eastern Shore,Cambridge,Maryland,26759,No Acquirer,2012-04-27,10434
HarVest Bank of Maryland,Gaithersburg,Maryland,57766,Sonabank,2012-04-27,10435
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,Minnesota,31495,Great Southern Bank,2012-04-27,10436
"Security Bank, National Association",North Lauderdale,Florida,23156,Banesco USA,2012-05-04,10439
"Alabama Trust Bank, National Association",Sylacauga,Alabama,35224,Southern States Bank,2012-05-18,10440
First Capital Bank,Kingfisher,Oklahoma,416,F & M Bank,2012-06-08,10443
Waccamaw Bank,Whiteville,North Carolina,34515,First Community Bank,2012-06-08,10444
Carolina Federal Savings Bank,Charleston,South Carolina,35372,Bank of North Carolina,2012-06-08,10441
Farmers' and Traders' State Bank,Shabbona,Illinois,9257,First State Bank,2012-06-08,10442
Security Exchange Bank,Marietta,Georgia,35299,Fidelity Bank,2012-06-15,10446
The Farmers Bank of Lynchburg,Lynchburg,Tennessee,1690,Clayton Bank and Trust,2012-06-15,10447
Putnam State Bank,Palatka,Florida,27405,Harbor Community Bank,2012-06-15,10445
Montgomery Bank & Trust,Ailey,Georgia,19498,Ameris Bank,2012-07-06,10448
Glasgow Savings Bank,Glasgow,Missouri,1056,Regional Missouri Bank,2012-07-13,10449
First Cherokee State Bank,Woodstock,Georgia,32711,Community & Southern Bank,2012-07-20,10450
Georgia Trust Bank,Buford,Georgia,57847,Community & Southern Bank,2012-07-20,10451
Second Federal Savings and Loan Association of Chicago,Chicago,Illinois,27986,Hinsdale Bank & Trust Company,2012-07-20,10453
The Royal Palm Bank of Florida,Naples,Florida,57096,First National Bank of the Gulf Coast,2012-07-20,10454
Heartland Bank,Leawood,Kansas,1361,Metcalf Bank,2012-07-20,10452
Jasper Banking Company,Jasper,Georgia,16240,Stearns Bank N.A.,2012-07-27,10455
Waukegan Savings Bank,Waukegan,Illinois,28243,First Midwest Bank,2012-08-03,10456
First Commercial Bank,Bloomington,Minnesota,35246,Republic Bank & Trust Company,2012-09-07,10457
Truman Bank,St. Louis,Missouri,27316,Simmons First National Bank,2012-09-14,10458
First United Bank,Crete,Illinois,20685,"Old Plank Trail Community Bank, National Association",2012-09-28,10459
GulfSouth Private Bank,Destin,Florida,58073,SmartBank,2012-10-19,10462
Excel Bank,Sedalia,Missouri,19189,Simmons First National Bank,2012-10-19,10460
First East Side Savings Bank,Tamarac,Florida,28144,Stearns Bank N.A.,2012-10-19,10461
NOVA Bank,Berwyn,Pennsylvania,27148,No Acquirer,2012-10-26,10463
Citizens First National Bank,Princeton,Illinois,3731,Heartland Bank and Trust Company,2012-11-02,10464
Heritage Bank of Florida,Lutz,Florida,35009,Centennial Bank,2012-11-02,10465
Hometown Community Bank,Braselton,Georgia,57928,"CertusBank, National Association",2012-11-16,10466
Community Bank of the Ozarks,Sunrise Beach,Missouri,27331,Bank of Sullivan,2012-12-14,10467
Westside Community Bank,University Place,Washington,33997,Sunwest Bank,2013-01-11,10468
1st Regents Bank,Andover,Minnesota,57157,First Minnesota Bank,2013-01-18,10469
Covenant Bank,Chicago,Illinois,22476,Liberty Bank and Trust Company,2013-02-15,10470
Frontier Bank,LaGrange,Georgia,16431,HeritageBank of the South,2013-03-08,10471
Gold Canyon Bank,Gold Canyon,Arizona,58066,"First Scottsdale Bank, National Association",2013-04-05,10472
Chipola Community Bank,Marianna,Florida,58034,First Federal Bank of Florida,2013-04-19,10473
First Federal Bank,Lexington,Kentucky,29594,Your Community Bank,2013-04-19,10474
Heritage Bank of North Florida,Orange Park,Florida,26680,FirstAtlantic Bank,2013-04-19,10475
Douglas County Bank,Douglasville,Georgia,21649,Hamilton State Bank,2013-04-26,10476
Parkway Bank,Lenoir,North Carolina,57158,"CertusBank, National Association",2013-04-26,10477
Sunrise Bank,Valdosta,Georgia,58185,Synovus Bank,2013-05-10,10481
Pisgah Community Bank,Asheville,North Carolina,58701,"Capital Bank, N.A.",2013-05-10,10480
Central Arizona Bank,Scottsdale,Arizona,34527,Western State Bank,2013-05-14,10479
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,Wisconsin,35386,"North Shore Bank, FSB",2013-05-31,10478
1st Commerce Bank,North Las Vegas,Nevada,58358,Plaza Bank,2013-06-06,10482
Mountain National Bank,Sevierville,Tennessee,34789,"First Tennessee Bank, National Association",2013-06-07,10483
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,Florida,34943,C1 Bank,2013-08-02,10484
Bank of Wausau,Wausau,Wisconsin,35016,Nicolet National Bank,2013-08-09,10485
Community South Bank,Parsons,Tennessee,19849,"CB&S Bank, Inc.",2013-08-23,10486
Sunrise Bank of Arizona,Phoenix,Arizona,34707,"First Fidelity Bank, National Association",2013-08-23,10487
First National Bank also operating as The National Bank of El Paso,Edinburg,Texas,14318,PlainsCapital Bank,2013-09-13,10488
The Community's Bank,Bridgeport,Connecticut,57041,No Acquirer,2013-09-13,10489
Bank of Jackson County,Graceville,Florida,14794,First Federal Bank of Florida,2013-10-30,10490
"Texas Community Bank, National Association",The Woodlands,Texas,57431,"Spirit of Texas Bank, SSB",2013-12-13,10491
DuPage National Bank,West Chicago,Illinois,5732,Republic Bank of Chicago,2014-01-17,10492
The Bank of Union,El Reno,Oklahoma,17967,BancFirst,2014-01-24,10493
Syringa Bank,Boise,Idaho,34296,Sunwest Bank,2014-01-31,10494
"Millennium Bank, National Association",Sterling,Virginia,35096,WashingtonFirst Bank,2014-02-28,10495
Vantage Point Bank,Horsham,Pennsylvania,58531,First Choice Bank,2014-02-28,10496
Allendale County Bank,Fairfax,South Carolina,15062,Palmetto State Bank,2014-04-25,10497
AztecAmerica Bank,Berwyn,Illinois,57866,Republic Bank of Chicago,2014-05-16,10498
Columbia Savings Bank,Cincinnati,Ohio,32284,"United Fidelity Bank, fsb",2014-05-23,10499
Slavie Federal Savings Bank,Bel Air,Maryland,32368,"Bay Bank, FSB",2014-05-30,10500
Valley Bank,Fort Lauderdale,Florida,21793,"Landmark Bank, National Association",2014-06-20,10501
Valley Bank,Moline,Illinois,10450,Great Southern Bank,2014-06-20,10502
The Freedom State Bank,Freedom,Oklahoma,12483,Alva State Bank & Trust Company,2014-06-27,10503
Eastside Commercial Bank,Conyers,Georgia,58125,Community & Southern Bank,2014-07-18,10504
"GreenChoice Bank, fsb",Chicago,Illinois,28462,"Providence Bank, LLC",2014-07-25,10505
NBRS Financial,Rising Sun,Maryland,4862,Howard Bank,2014-10-17,10506
The National Republic Bank of Chicago,Chicago,Illinois,916,State Bank of Texas,2014-10-24,10507
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,California,34738,"Bank of Southern California, N.A.",2014-11-07,10508
Northern Star Bank,Mankato,Minnesota,34983,BankVista,2014-12-19,10509
First National Bank of Crestview,Crestview,Florida,17557,First NBC Bank,2015-01-16,10510
Highland Community Bank,Chicago,Illinois,20290,"United Fidelity Bank, fsb",2015-01-23,10511
Capitol City Bank & Trust Company,Atlanta,Georgia,33938,First-Citizens Bank & Trust Company,2015-02-13,10512
Doral Bank,San Juan,Puerto Rico,32102,Banco Popular de Puerto Rico,2015-02-27,10513
Edgebrook Bank,Chicago,Illinois,57772,Republic Bank of Chicago,2015-05-08,10514
Premier Bank,Denver,Colorado,34112,"United Fidelity Bank, fsb",2015-07-10,10515
The Bank of Georgia,Peachtree City,Georgia,35259,Fidelity Bank,2015-10-02,10516
Hometown National Bank,Longview,Washington,35156,Twin City Bank,2015-10-02,10517
North Milwaukee State Bank,Milwaukee,Wisconsin,20364,First-Citizens Bank & Trust Company,2016-03-11,10518
Trust Company Bank,Memphis,Tennessee,9956,The Bank of Fayette County,2016-04-29,10519
First CornerStone Bank,King of Prussia,Pennsylvania,35312,First-Citizens Bank & Trust Company,2016-05-06,10520
The Woodbury Banking Company,Woodbury,Georgia,11297,United Bank,2016-08-19,10521
Allied Bank,Mulberry,Arkansas,91,Today's Bank,2016-09-23,10522
Harvest Community Bank,Pennsville,New Jersey,34951,First-Citizens Bank & Trust Company,2017-01-13,10523
Seaway Bank and Trust Company,Chicago,Illinois,19328,State Bank of Texas,2017-01-27,10524
Proficio Bank,Cottonwood Heights,Utah,35495,Cache Valley Bank,2017-03-03,10525
First NBC Bank,New Orleans,Louisiana,58302,Whitney Bank,2017-04-28,10526
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,Wisconsin,30003,First-Citizens Bank & Trust Company,2017-05-05,10527
Fayette County Bank,Saint Elmo,Illinois,1802,"United Fidelity Bank, fsb",2017-05-26,10528
The Farmers and Merchants State Bank of Argonia,Argonia,Kansas,17719,Conway Bank,2017-10-13,10529
Washington Federal Bank for Savings,Chicago,Illinois,30570,Royal Savings Bank,2017-12-15,10530
The Enloe State Bank,Cooper,Texas,10716,"Legend Bank, N. A.",2019-05-31,10531
Resolute Bank,Maumee,Ohio,58317,Buckeye State Bank,2019-10-25,10533
Louisa Community Bank,Louisa,Kentucky,58112,Kentucky Farmers Bank Corporation,2019-10-25,10532
City National Bank of New Jersey,Newark,New Jersey,21111,Industrial Bank,2019-11-01,10534
Ericson State Bank,Ericson,Nebraska,18265,Farmers and Merchants Bank,2020-02-14,10535
The First State Bank,Barboursville,West Virginia,14361,"MVB Bank, Inc.",2020-04-03,10536
First City Bank of Florida,Fort Walton Beach,Florida,16748,"United Fidelity Bank, fsb",2020-10-16,10537
Almena State Bank,Almena,Kansas,15426,Equity Bank,2020-10-23,10538
Silicon Valley Bank,Santa Clara,California,24735,First–Citizens Bank & Trust Company,2023-03-10,10539
Signature Bank,New York,New York,57053,"Flagstar Bank, N.A.",2023-03-12,10540
First Republic Bank,San Francisco,California,59017,"JPMorgan Chase Bank, N.A.",2023-05-01,10543
Heartland Tri-State Bank,Elkhart,Kansas,25851,"Dream First Bank, N.A.",2023-07-28,10544
Citizens Bank,Sac City,Iowa,8758,Iowa Trust & Savings Bank,2023-11-03,10545
Republic First Bank dba Republic Bank,Philadelphia,Pennsylvania,27332,"Fulton Bank, National Association",2024-04-26,10546
The First National Bank of Lindsay,Lindsay,Oklahoma,4134,First Bank & Trust Co.,2024-10-18,10547
Pulaski Savings Bank,Chicago,Illinois,28611,Millennium Bank,2025-01-17,10548
The Santa Anna National Bank,Santa Anna,Texas,5520,Coleman County State Bank,2025-06-27,10549
Metropolitan Capital Bank & Trust,Chicago,Illinois,57488,First Independence Bank,2026-01-30,10550
Community Bank and Trust - West Georgia,LaGrange,Georgia,25796,Anchor Bank,2026-05-01,10551
